event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original
PersonX does not take PersonX's watch off,"[""none""]","[""none""]","[""none""]","[""forgetful"", ""daunting"", ""formal""]","[""can tell time"", ""has more weight on wrist"", ""none""]","[""keep track of time"", ""appear formal"", ""none""]","[""to know it is waterproof"", ""to have forgotten it"", ""buy the watch"", ""wear the watch""]","[""distinguished"", ""responsible"", ""reliable"", ""frustrated that they ruined the timepiece when they jumped in the water with it on"", ""hopeful that maybe it will still tell time"", ""embarressed that they made this error in front of their friends""]","[""to show it off"", ""to take it in for repair"", ""to clean the watch"", ""protect the watch""]",tst,PersonX takes PersonX's watch off
PersonX does not pull faces,"[""none""]","[""none""]","[""none""]","[""honest"", ""true"", ""normal"", ""serious""]","[""none""]","[""to keep their hands to themself"", ""respect other's body"", ""none""]","[""none"", ""to know the teacher is watching"", ""to be with his boss""]","[""in control"", ""respectful toward others"", ""inconspicuous"", ""casual"", ""subtle""]","[""to remain calm"", ""to keep to themselves"", ""to stay out of trouble"", ""to make a good impression""]",tst,PersonX pulls faces
PersonX does not get PersonY's license,"[""cannot drive"", ""frowns"", ""none""]","[""glad to use PersonX's license"", ""relief"", ""angry"", ""upset""]","[""to pass their test"", ""to reschedule to try again"", ""to be irritated"", ""to figure it out""]","[""unaccommodating"", ""unamiable"", ""uncivil"", ""discourteous"", ""unhelpful"", ""inconsiderate""]","[""gets yelled at"", ""gets critiqued"", ""none""]","[""to use their own identification"", ""to get the identification later"", ""PersonY to get their own license"", ""do their own errands""]","[""to go to the DMV"", ""to sign up for the test"", ""to have forgotten to pick it up"", ""to not want Y driving""]","[""content"", ""satisfied with their decision"", ""annoyed"", ""frustrated""]","[""to take the test again"", ""to start over"", ""to turn around and go and get it"", ""to make excuses""]",tst,PersonX gets PersonY's license
PersonX does not open the lid,"[""none""]","[""none""]","[""none""]","[""weak"", ""anemic"", ""incurious"", ""cautious""]","[""Punched by the robber"", ""Pushed out of the way"", ""puts it away"", ""walks away""]","[""to not release contents inside"", ""to be secretive"", ""to save something for later"", ""to keep a bug captive""]","[""none"", ""want something from a jar"", ""get hungry""]","[""secretive"", ""calm"", ""happy"", ""good""]","[""get a towel to help"", ""use a knife"", ""keep trying""]",tst,PersonX opens the lid
PersonX does not spend hours,"[""none""]","[""none""]","[""none""]","[""busy"", ""engaged"", ""careless"", ""carefree""]","[""none""]","[""none"", ""short on time"", ""rushed""]","[""none"", ""to get it done quickly"", ""to keep an eye on the time""]","[""rushed"", ""busy"", ""like they have plenty of time"", ""relaxed""]","[""to not waste"", ""to use short time"", ""to enjoy themselves"", ""to do nothing in particular""]",tst,PersonX spends hours
PersonX does not send a letter,"[""none""]","[""none"", ""like PersonX agrees with them"", ""like PersonX is a friend""]","[""none"", ""to accept the call"", ""to give feedback""]","[""conservative"", ""lazy"", ""apathetic"", ""uncaring""]","[""none"", ""Dumped by girlfriend"", ""Forced to live alone""]","[""to double check for mistakes"", ""to not bother others"", ""to keep the peace"", ""keep his thoughts to himself""]","[""none""]","[""shy"", ""embarassed"", ""like a rational adult"", ""like they took the high road""]","[""to not wait for a reply"", ""to do nothing"", ""to talk in person"", ""to talk on phone""]",tst,PersonX sends a letter
PersonX does not smell something,"[""none""]","[""none""]","[""none""]","[""oblivious"", ""inattentive"", ""not detail oriented""]","[""none"", ""gets confused"", ""gets worried""]","[""none""]","[""have a nose"", ""have something to smell"", ""none""]","[""like they can breathe the clean air"", ""fresh as a daisy"", ""uninterested"", ""unstimulated""]","[""taste the item"", ""eat the item"", ""to put on perfume"", ""to put on the diffuser""]",tst,PersonX smells something
PersonX does not lean back against the wall,"[""none""]","[""none""]","[""none""]","[""unsupported"", ""alert"", ""professional"", ""confident""]","[""none"", ""gets knocked down by the fast moving crowd"", ""can't reach behind the armoire"", ""gets arrested""]","[""to maintain good posture"", ""to give full attention to what is happening"", ""to not appear lazy""]","[""none"", ""go out dancing"", ""go to a bar""]","[""careful and responsible"", ""vigilant"", ""proud"", ""righteous""]","[""to make sure their is no paint on their shirt"", ""to try harder to stay awake"", ""to stay alert"", ""to go back home soon""]",tst,PersonX leans back against the wall
PersonX does not take liberties,"[""none""]","[""none""]","[""none""]","[""discreet"", ""respectful"", ""clever"", ""kind""]","[""have less errors"", ""become more polite"", ""none""]","[""to follow the rules"", ""to be moral"", ""to be respectful of others"", ""to be faithful to the original story""]","[""none"", ""to be honest"", ""to do the right things""]","[""like a good person"", ""law-abiding"", ""considerate"", ""studious and honest""]","[""to be friendly"", ""to be agreeable"", ""to be proud of himself"", ""to be a role model""]",tst,PersonX takes liberties
PersonX does not break the news to PersonY,"[""none""]","[""none"", ""irked"", ""mad that X wouldn't tell them""]","[""none""]","[""unfocused"", ""kind"", ""forgetful"", ""airheaded""]","[""none""]","[""to let someone else do it"", ""to avoid a confrontation"", ""to be seen as the good guy"", ""not to see Y become sad""]","[""none""]","[""guilty"", ""uncertain if PersonY knows"", ""cowardly"", ""afraid""]","[""to gain from the information"", ""to save y from the pain"", ""breaks the news"", ""talks to person Y""]",tst,PersonX breaks the news to PersonY
PersonX does not feel very lucky,"[""none""]","[""none""]","[""none""]","[""unlucky"", ""unfortunate"", ""nervous"", ""risk-averse""]","[""avoids opportunity"", ""disappointed"", ""cries"", ""yelled""]","[""none""]","[""none""]","[""unlucky"", ""sorry for themselves"", ""unsatisfied"", ""unhappy""]","[""change their luck"", ""catch a few breaks"", ""to feel lucky"", ""rest""]",tst,PersonX feels very lucky
PersonX does not tip PersonY's head,"[""none""]","[""like their space was respected"", ""thankful for personX"", ""scared"", ""creeped out""]","[""none"", ""to kiss personX"", ""to fondle personX""]","[""respectful"", ""hands-off"", ""careful"", ""kind""]","[""none"", ""Questioned by personY"", ""Given poor performance review in physical therapy review""]","[""none"", ""to not touch others"", ""to leave people alone""]","[""to be holding PersonY's head"", ""to be careful with PersonY"", ""none""]","[""weird"", ""respectful"", ""guilty"", ""worried""]","[""to put PersonY's head on a pillow"", ""not to awaken PersonY"", ""to comfort personY"", ""to keep personY safe from harm""]",tst,PersonX tips PersonY's head
PersonX does not look both ways,"[""they hit person x"", ""they beep at person x"", ""driver slams on brakes"", ""driver screams""]","[""none""]","[""to get therapy after hitting a pedestrian"", ""to get a good lawyer"", ""none""]","[""careless"", ""forgetful"", ""reckless""]","[""they get hit by a car"", ""a car beeps at them"", ""hit by car"", ""knocked down""]","[""to get across quickly"", ""to get something done"", ""none""]","[""to approach a crosswalk"", ""to walk into the crosswalk"", ""none""]","[""regretful"", ""guitly"", ""oblivious"", ""confident""]","[""to go to a hospital after they get hit by a car"", ""to look both ways of the road next time"", ""to cross the street"", ""to avoid getting hit by cars""]",tst,PersonX looks both ways
PersonX does not go to a doctor's appointment,"[""none""]","[""none"", ""upset"", ""let down""]","[""none""]","[""scared"", ""anxious"", ""timid"", ""apathetic""]","[""they get really sick"", ""they die"", ""Charged a fee"", ""Removed from patient list""]","[""to avoid doctors"", ""to not have a medical bill"", ""to avoid a scary diagnosis"", ""to avoid hospitalization""]","[""none"", ""not feel well"", ""get sick""]","[""relieved"", ""stubborn"", ""nervous"", ""guilty""]","[""to stay away from doctors"", ""to solve their own problems"", ""start to feel better"", ""Checks own health""]",tst,PersonX goes to a doctor's appointment
PersonX does not want to learn how to sing,"[""none""]","[""none""]","[""none""]","[""careless"", ""silly"", ""loafing"", ""inert""]","[""none""]","[""none""]","[""to be tone deaf"", ""to be mute"", ""none""]","[""like they are too busy with other things"", ""unmotivated"", ""indifferent"", ""averse"", ""anxious""]","[""to avoid choir"", ""to find other amusement"", ""to avoid embarassing themself"", ""to save time for more valuable pursuits""]",tst,PersonX wants to learn how to sing
PersonX does not take a swig,"[""none""]","[""none""]","[""none""]","[""worried"", ""determined"", ""responsible"", ""quenched""]","[""PersonX gets thirsty"", ""PersonX regrets it"", ""none""]","[""to remain sober"", ""drink something else"", ""to not be drunk"", ""to avoid drinking""]","[""none"", ""to be physically close to a beverage"", ""to have the chance to drink some of the beverage""]","[""parched"", ""thirsty"", ""proud for not drinking"", ""urgent""]","[""to open a new drink; one that someone hasn't been drinking from"", ""to put the drink back in the fridge"", ""to cut back on alcohol"", ""to avoid spreading germs to others""]",tst,PersonX takes a swig
PersonX does not take it outside,"[""none""]","[""none""]","[""to argue with PersonX"", ""to escalate things with PersonX"", ""none""]","[""gentle"", ""cowardly"", ""careless"", ""thoughtless""]","[""none"", ""they get yelled at"", ""get thrown out by security""]","[""to calm down"", ""to de-escalate the situation"", ""to keep it inside"", ""to make their own rules""]","[""none"", ""to be present indoors with an item"", ""to be in an argument in a bar""]","[""like the bigger person"", ""mature"", ""in control"", ""strong""]","[""to talk over their differences"", ""not to resort to violence"", ""to keep the item safely indoors"", ""to avoid escalating to violence by going outside""]",tst,PersonX takes it outside
PersonX does not feel unappreciated,"[""none""]","[""none""]","[""none""]","[""left out"", ""disappointed"", ""grateful"", ""thankful""]","[""they are saddend"", ""they are depressed"", ""none""]","[""none""]","[""none""]","[""appreciated"", ""cared for"", ""valued"", ""worthwhile""]","[""avoid feeling unappreciated"", ""continue to be appreciated"", ""to keep being themselves"", ""to remain productive and stick to the original plan""]",tst,PersonX feels unappreciated
PersonX does not develop along lines,"[""none""]","[""none""]","[""none""]","[""undeveloped"", ""uncaring"", ""mature"", ""full-grown""]","[""none"", ""gets wayward"", ""goes away""]","[""to fret away his time"", ""to avoid hard work"", ""to go his own way"", ""to develop differently""]","[""none""]","[""satisfied"", ""self-sufficient"", ""unique"", ""special""]","[""to improve themself"", ""expand their horizons"", ""does his own business"", ""does art""]",tst,PersonX develops along lines
PersonX does not put the phone away,"[""are interrupted by the phone ringing"", ""have to refocus after the incident"", ""none""]","[""none""]","[""none""]","[""careless"", ""absentminded"", ""distracted""]","[""phone rings at an inappropriate time"", ""has to apologize for the phone"", ""none""]","[""to make a phone call"", ""to send a text message"", ""to make a call"", ""to get in touch with their friend""]","[""get the phone out"", ""decide to leave the phone out"", ""to get the phone out""]","[""social"", ""engaged"", ""entertained"", ""driven"", ""anxious""]","[""receive a call"", ""make a call""]",tst,PersonX puts the phone away
PersonX does not play hockey,"[""none""]","[""none""]","[""none""]","[""occupied"", ""busy"", ""uninspired"", ""lazy""]","[""have no hockey equipment"", ""have curiosity about hockey"", ""gets out of shape"", ""watches from the sidelines"", ""gets ridiculed by friends"", ""forgets how to skate""]","[""to avoid contact"", ""to play another sport"", ""to avoid looking like a fool because aren't as good as the other players"", ""to not get an injury""]","[""To go to the ice rink"", ""To see people playing hockey"", ""To fall really hard and bust their knee while ice skating"", ""To decide hockey isn't for them"", ""to fail the physical"", ""to miss the cut""]","[""content"", ""satisfied"", ""like they escaped a potentially embaressing situation"", ""like they aren't very athletic compared to their friends""]","[""To take up a different sport"", ""To ice their knee"", ""To apply arnica gel to their knee"", ""to take lessons over the winter"", ""to hire a professional player to teach them""]",tst,PersonX plays hockey
