event,split,xAttr,xEffect,oEffect,xReact,oReact,xWant,oWant,xIntent,xNeed,original
PersonX drops PersonY out the car,trn,"[""rude"", ""angry"", ""dangerous"", ""reckless""]","[""accomplished a task"", ""yelled at"", ""they are arrested""]","[""was offered a ride"", ""left on the side of the road"", ""they are scraped and bruised""]","[""annoyed"", ""bothered"", ""relieved"", ""satisfied""]","[""confused"", ""helpless"", ""dismissed"", ""sad""]","[""speed off"", ""shut the door"", ""to show power"", ""to kick persony out""]","[""find another ride"", ""start walking"", ""to get to the destination"", ""to get a ride""]","[""persony to go home"", ""persony to leave"", ""to go on alone"", ""to feel unburdened""]","[""none""]",PersonX puts PersonY in the car
PersonX is ignored by PersonY,trn,"[""dejected"", ""lonely"", ""nondescript"", ""forgettable"", ""unimpressive"", ""mediocre"", ""unremarkable""]","[""gets left behind"", ""loses a friend"", ""none""]","[""none""]","[""bad"", ""unwanted"", ""sad"", ""unhappy"", ""dominant"", ""worried"", ""hurt"", ""abandoned"", ""irritated""]","[""none""]","[""to confront persony"", ""yell at persony"", ""to ask personY why they are being rude"", ""to not not personY's behavior bother them"", ""to be rejected"", ""to have new friends"", ""receive attention"", ""receive an explanation""]","[""to walk away"", ""to flee"", ""to avoid seeing personX"", ""to have nothing to do with personX"", ""none"", ""apologize"", ""avoid personX""]","[""none"", ""to be rude"", ""to be mean""]","[""none"", ""to be a good person"", ""to talk to person y""]",PersonX comes to PersonY decision
PersonX tells PersonY's brother,trn,"[""chatty"", ""gossipy"", ""divulging"", ""communicative""]","[""avoided"", ""tagged as traitor"", ""to keep secrete"", ""ask help to cook""]","[""burdened"", ""blamed for intervening"", ""none""]","[""superior"", ""informed"", ""helpful"", ""supportive""]","[""cautious"", ""wary"", ""aware"", ""thankful""]","[""friends with y"", ""playing together"", ""their brother to know"", ""to let the truth be known""]","[""none""]","[""to spread news"", ""to be seen as knowledgeable"", ""person y's brother to know something"", ""to update person y's brother""]","[""none""]",PersonX tells PersonY's sister
PersonX ignores PersonY.,trn,"[""rude"", ""thoughtless"", ""slight"", ""flighty"", ""impolite"", ""dismissive"", ""distant"", ""neglectful"", ""indifferent"", ""self-centered"", ""narrowly focused"", ""uninterested"", ""mean"", ""careless"", ""cold"", ""hostile"", ""passive-aggressive"", ""disinterested"", ""ill-mannered"", ""harsh"", ""aloof"", ""cruel"", ""sad"", ""annoyed"", ""focused"", ""arrogant"", ""oblivious"", ""Unfriendly"", ""Rude"", ""uncaring"", ""inattentive"", ""unkind"", ""unfriendly"", ""Snobby"", ""Intolerable"", ""spiteful"", ""fearful"", ""inconsiderate"", ""hurtful"", ""ignorant""]","[""gets yelled at"", ""gets hit"", ""They avoid personY"", ""They get busy and preoccupied"", ""none"", ""is confronted"", ""loses a friend"", ""get left alone"", ""moves on"", ""PersonX gets yelled at by PersonY"", ""PersonX gets ignored by PersonY in return"", ""yelled at"", ""fought with"", ""gets confronted"", ""pretend not seeing personY in sight"", ""pretend not hearing personY in voice"", ""gets in trouble"", ""is yelled at"", ""wants to happy"", ""do workout"", ""is ignored in return"", ""gets asked questions"", ""gets argued with"", ""gets ignored in return"", ""losses a friend"", ""walks away from personY"", ""shuts the door on personY"", ""gets approached"", ""Scolded by personY"", ""Told to be more talkative""]","[""none"", ""They confront personX"", ""They ask mutual friends why they are being ignored"", ""is avoided"", ""loses a friend"", ""get ignored"", ""gets upset"", ""pays more attention to PersonX"", ""questions PersonX"", ""PersonY cries"", ""PersonY screams at PersonX"", ""grows distant from personx"", ""avoids seeing personx"", ""frowns"", ""cringes"", ""cries"", ""turns red from irritation"", ""not being respected"", ""being challenged"", ""becomes exhausted"", ""loses confidence"", ""are rejected"", ""is unsure of themselves"", ""does their own thing"", ""gets in an argument"", ""Tries to get person ex's attention"", ""Avoids person person x"", ""gets avoided"", ""tries to get person x's attention"", ""repeats self"", ""reaches out to stop personX"", ""attempts to talk to personX"", ""wonders why person x is ignoring them"", ""is sad"", ""leave x alone"", ""tries to get personX to talk to them"", ""angry"", ""furious"", ""gets in a fight""]","[""annoyed"", ""stressed out"", ""excited to be with friends"", ""frustrated that the other individual was invited"", ""rude"", ""scared"", ""sad"", ""unhappy"", ""indifferent"", ""content"", ""relieved"", ""focused"", ""guilty"", ""manipulative"", ""controlling"", ""independent"", ""distant"", ""careless"", ""unsatisfied"", ""smug"", ""proud"", ""angry"", ""superior to y"", ""powerful"", ""irritated"", ""bothered"", ""solitude"", ""happy"", ""mean"", ""selfish"", ""alone"", ""lonely"", ""bad"", ""vindicated"", ""justified"", ""contempt"", ""frustration"", ""relieved they weren't spotted"", ""worried they won't be able to continue to avoid them"", ""relaxed"", ""vindictive"", ""nasty"", ""aloof"", ""hostile"", ""open minded"", ""in search of other options"", ""cold"", ""unfriendly"", ""annoyed with personY"", ""relieved to not speak to PersonY"", ""glad they avoided someone awful"", ""smart about watching where they are going"", ""happiness"", ""success"", ""snobbish"", ""irritable"", ""mad""]","[""hurt"", ""like they don't belong"", ""rejected"", ""isolated"", ""none"", ""annoyed"", ""unwanted"", ""neglected"", ""needy"", ""upset"", ""alienated"", ""unseen"", ""unappreciated"", ""confused"", ""sad"", ""shunned"", ""mad"", ""like being even more annoying"", ""like yelling louder"", ""depressed"", ""disrespected"", ""frustrated"", ""slighted"", ""ignored"", ""shocked"", ""like they don't matter"", ""unimportant"", ""dejected"", ""unnoticed"", ""sad to be ignored"", ""confused at being ignored"", ""hurt by the snub"", ""unacknowledged"", ""annoyance"", ""anger""]","[""to show their displeasure"", ""hurt persony"", ""try to mingle with him"", ""be friendly"", ""to talk with person y"", ""to go back home"", ""to find someone else to hang out with"", ""to spend time alone"", ""to hate them"", ""to be alone"", ""be alone"", ""sleep"", ""stay home"", ""to be left alone"", ""to avoid their company"", ""them to understand how they feel"", ""feel poorly"", ""treat them the same way"", ""move away from them"", ""to be lone"", ""to be free"", ""walk away"", ""leave the scene"", ""to hate person y"", ""to avoid person y"", ""to keep in touch"", ""to ask sorry"", ""to hotel with friends"", ""to go home"", ""stay alone"", ""read"", ""avoid personY"", ""to arrange the meeting"", ""to prepare food for PersonY"", ""to leave persony"", ""to get a divorce"", ""to communicate their disproval"", ""be unhappy with persony"", ""to stay safe"", ""dump them"", ""hurt them"", ""to go on about their business"", ""to think of their own ideas"", ""to not go near PersonY"", ""to to stay to them self"", ""stay on their own"", ""watch a movie"", ""to go somewhere else"", ""talk to someone else"", ""to walk away"", ""to say mean things about PersonY"", ""to assume y"", ""to not talk to y"", ""to apologize"", ""to go unnoticed"", ""to find a place to go"", ""PersonX help PersonY"", ""PersonY refuse to do help"", ""nothing to do with them"", ""a fresh start""]","[""to apologize"", ""make things right"", ""none"", ""to be by themselves"", ""to find someone to talk to"", ""keep trying to get attention"", ""ask why they are being ignored"", ""receive an explanation"", ""be acknowledged"", ""to beg personx to stay"", ""to beg for forgiveness"", ""to reach out to person X"", ""to explain again their position"", ""avoid person x in return"", ""find out why they are being ignored"", ""to head out"", ""to ask their friends what PersonX's problem is"", ""to yell at PersonX"", ""to confront PersonX"", ""to not be friendly with PersonX"", ""receive and explanation"", ""make it up to personx""]","[""to cause trouble with Y"", ""to be left alone"", ""to avoid confrontation"", ""to have fun at the party"", ""none"", ""to do something else"", ""to avoid PersonY"", ""to be alone"", ""to not talk to PersonY"", ""to concentrate on work"", ""to not talk right now"", ""person y to suffer"", ""to be away from person y"", ""to avoid Y"", ""to end a friendship"", ""to express anger"", ""to talk to other people"", ""to make Y mad"", ""to make PersonY go away"", ""to hurt PersonY"", ""personY to shut up"", ""personY to leave them alone"", ""to not deal with PersonY"", ""not to have friends"", ""to not listen to PersonY"", ""to ignore PersonY"", ""to punish person y"", ""to avoid an arguement"", ""to prevent conflict"", ""to not have an embarressing encounter"", ""persony to leave"", ""to stay away from persony"", ""to express contempt"", ""to harbor ill will"", ""to think"", ""to figure things out"", ""To maintain independence"", ""to stay away from Y"", ""to keep away from person y"", ""to be on his own"", ""to find better options"", ""to hear what others have to say"", ""to avoid them"", ""to stay away from them"", ""to punish PersonY"", ""to get away from PersonY"", ""to focus on the road"", ""to snub them"", ""to sit in silence"", ""to not talk""]","[""none"", ""to go out"", ""to meet people"", ""to shout at person y"", ""to hit person y"", ""to hear person Y"", ""to disagree with person Y"", ""to be annoyed by PersonY"", ""to develop bad feelings"", ""to turn away from PersonY"", ""to dislike PersonY"", ""to see PersonY"", ""to not respond to PersonY"", ""to notice PersonY"", ""to not like PersonY""]",PersonX assists PersonY
PersonX buys a  microwave,trn,"[""rich"", ""wanting"", ""hungry"", ""in need""]","[""cooks a meal"", ""opens a box"", ""receives a package from Amazon"", ""meals are ready quicker""]","[""none""]","[""excited"", ""happy"", ""satisfied"", ""productive""]","[""none""]","[""to make popcorn"", ""to relax"", ""to go home"", ""to try out the microwave"", ""to plug it in the kitchen""]","[""none""]","[""none"", ""to make cooking easier"", ""to furnish the kitchen""]","[""none"", ""to go to a store"", ""to have money"", ""to choose from microwaves""]",PersonX buys a new microwave
PersonX did their own thing,trn,"[""independent"", ""self-assured"", ""confident""]","[""none""]","[""none""]","[""independent"", ""free"", ""happy""]","[""none""]","[""to have lunch"", ""to relax"", ""to read a book"", ""stay in their own home""]","[""none""]","[""to be independent"", ""to be free"", ""none""]","[""to plan"", ""to work hard"", ""none""]",PersonX begs and begged
PersonX loves PersonY so much.,trn,"[""enamored"", ""hopeless"", ""caring"", ""nurturing""]","[""hugged"", ""kissed"", ""none""]","[""hugged"", ""kissed"", ""none""]","[""positive"", ""thoughtful"", ""loving"", ""caring""]","[""none"", ""grateful"", ""loved""]","[""to hug PersonY"", ""spend time with PersonY"", ""Tell Y how they feel"", ""To spend time with Y""]","[""spend time with PersonX"", ""hug PersonX"", ""to get to know X better"", ""to tell X how they feel about them""]","[""to cause friendship"", ""to be uplifting"", ""none""]","[""spend time with PersonY"", ""get to know PersonY"", ""none""]",PersonX wants nothing to do with PersonY
PersonX loses PersonY,trn,"[""unobservant"", ""inattentive"", ""immature"", ""untrustworthy""]","[""none"", ""cries"", ""gets teared eyes""]","[""none""]","[""distraught"", ""depressed"", ""sad"", ""unhappy""]","[""absent"", ""empty"", ""none""]","[""search"", ""find personY"", ""to find person Y"", ""to look for person Y""]","[""be found"", ""help find personY"", ""to look for person X"", ""to find person X""]","[""none""]","[""be with personY"", ""get distracted"", ""to walk with person Y"", ""to turn around for a moment""]",PersonX spots PersonY
PersonX meets an ugly woman.,trn,"[""normal"", ""observant"", ""rude"", ""mean""]","[""cringes"", ""bares teeth"", ""none""]","[""none""]","[""shy"", ""worried"", ""disgusted"", ""like they need to turn away""]","[""none"", ""unattractive"", ""disappointed""]","[""to forget about the woman"", ""to meet a nice woman"", ""to tell the woman that she has a beautiful soul"", ""to spend more time with the woman from now on""]","[""none""]","[""none""]","[""none""]",PersonX meets a handsome man
PersonX revels in joy.,trn,"[""thrilled"", ""enraptured"", ""happy"", ""satisficed""]","[""smiles"", ""laughs"", ""none""]","[""none""]","[""ecstatic"", ""happy"", ""satisfied""]","[""none""]","[""do something with others"", ""remain their positivity"", ""celebrate the news"", ""start another job""]","[""none""]","[""to celebrate"", ""to express PersonX's emotions"", ""none""]","[""none""]",PersonX nips in the bud
PersonX calls PersonY in advance.,trn,"[""considerate"", ""prepared"", ""helpful"", ""remindful""]","[""none"", ""Invited out to dinner"", ""Asked on a date""]","[""none""]","[""excited"", ""happy"", ""satisfied"", ""OK""]","[""none""]","[""talk to personY"", ""make plans"", ""help from person y"", ""to solve the problem""]","[""talk to personX"", ""make plans"", ""none""]","[""none"", ""to relay a message"", ""to talk to them""]","[""know personY"", ""have a phone"", ""to be a friend of person y"", ""to be happy with person y""]",PersonX catches PersonY by surprise
PersonX is at the park alone,trn,"[""isolated"", ""friendless"", ""solitary"", ""alone"", ""relaxed""]","[""Gets scared"", ""gets concerned"", ""smiles"", ""jogs in park""]","[""none""]","[""lonely"", ""alone"", ""peaceful"", ""quiet""]","[""none""]","[""call a friend to come"", ""enjoy the park"", ""to enjoy nature"", ""to feel free""]","[""none""]","[""none"", ""to reflect on the day"", ""to enjoy peace and quiet""]","[""go to the park"", ""refrain from inviting anyone to go along"", ""none""]",PersonX is at the beach with friends
